iter	Passed	Remaining
0	154	154506
1	155	77675
2	156	51939
3	156	39062
4	157	31326
5	157	26159
6	158	22469
7	158	19705
8	159	17555
9	159	15835
10	160	14439
11	161	13275
12	161	12281
13	162	11428
14	162	10690
15	163	10042
16	163	9472
17	164	8962
18	164	8507
19	165	8097
20	165	7732
21	166	7397
22	166	7091
23	167	6809
24	167	6549
25	168	6309
26	168	6087
27	169	5880
28	170	5692
29	170	5518
30	171	5354
31	171	5202
32	172	5057
33	173	4920
34	173	4790
35	174	4668
36	174	4551
37	175	4440
38	175	4334
39	176	4235
40	177	4142
41	177	4055
42	178	3974
43	179	3893
44	179	3814
45	180	3740
46	180	3668
47	181	3600
48	182	3535
49	182	3472
50	183	3411
51	184	3355
52	184	3303
53	185	3250
54	186	3198
55	186	3147
56	187	3099
57	187	3053
58	188	3007
59	189	2963
60	189	2922
61	190	2881
62	191	2841
63	191	2803
64	192	2766
65	192	2729
66	193	2693
67	194	2659
68	194	2625
69	195	2592
70	195	2560
71	196	2531
72	197	2504
73	197	2477
74	198	2448
75	199	2421
76	199	2394
77	200	2368
78	201	2343
79	201	2318
80	202	2295
81	202	2271
82	203	2246
83	204	2225
84	204	2203
85	205	2181
86	205	2160
87	206	2139
88	207	2119
89	207	2100
90	208	2082
91	209	2064
92	209	2046
93	210	2029
94	211	2011
95	211	1994
96	212	1977
97	213	1961
98	213	1945
99	214	1928
100	215	1915
101	215	1901
102	216	1886
103	217	1871
104	217	1856
105	218	1842
106	219	1828
107	219	1815
108	220	1802
109	221	1792
110	222	1780
111	222	1767
112	223	1755
113	224	1742
114	224	1731
115	225	1719
116	226	1707
117	227	1697
118	227	1686
119	228	1675
120	229	1664
121	229	1652
122	230	1641
123	230	1631
124	231	1620
125	232	1610
126	233	1602
127	233	1592
128	234	1585
129	235	1575
130	236	1565
131	236	1556
132	237	1547
133	238	1538
134	238	1531
135	239	1522
136	240	1514
137	241	1505
138	241	1496
139	242	1488
140	242	1480
141	243	1470
142	243	1462
143	244	1454
144	245	1446
145	246	1440
146	246	1432
147	247	1424
148	248	1417
149	248	1409
150	249	1401
151	249	1394
152	250	1387
153	251	1379
154	251	1372
155	252	1366
156	253	1360
157	254	1354
158	254	1347
159	255	1340
160	255	1332
161	256	1326
162	256	1319
163	257	1313
164	258	1307
165	259	1301
166	259	1295
167	260	1289
168	260	1283
169	261	1276
170	262	1271
171	262	1265
172	263	1259
173	264	1254
174	264	1249
175	265	1244
176	266	1238
177	267	1233
178	267	1228
179	268	1223
180	269	1218
181	270	1213
182	270	1208
183	271	1204
184	272	1199
185	273	1194
186	273	1190
187	274	1185
188	275	1180
189	275	1176
190	276	1172
191	277	1167
192	278	1162
193	278	1157
194	279	1153
195	280	1148
196	280	1143
197	281	1138
198	281	1134
199	282	1129
200	283	1125
201	283	1121
202	284	1117
203	285	1112
204	285	1108
205	286	1104
206	287	1099
207	287	1095
208	288	1091
209	289	1087
210	290	1084
211	290	1080
212	291	1076
213	292	1072
214	292	1068
215	293	1065
216	294	1061
217	294	1056
218	295	1053
219	296	1051
220	297	1047
221	297	1044
222	298	1040
223	299	1036
224	299	1032
225	300	1028
226	301	1025
227	301	1022
228	302	1018
229	303	1014
230	303	1011
231	304	1007
232	305	1004
233	305	1001
234	306	997
235	307	994
236	307	990
237	308	987
238	309	984
239	309	980
240	310	977
241	310	974
242	311	970
243	312	966
244	312	963
245	313	959
246	313	956
247	314	953
248	315	950
249	315	946
250	316	943
251	316	939
252	317	936
253	317	932
254	318	929
255	318	925
256	319	922
257	319	919
258	320	916
259	320	913
260	321	910
261	322	907
262	322	904
263	323	900
264	323	898
265	324	895
266	324	892
267	325	888
268	326	885
269	326	883
270	327	880
271	327	877
272	328	873
273	328	870
274	329	867
275	329	864
276	330	861
277	330	858
278	331	856
279	331	853
280	332	850
281	332	847
282	333	844
283	333	841
284	334	838
285	334	835
286	335	832
287	335	830
288	336	827
289	336	824
290	337	821
291	337	819
292	338	816
293	339	814
294	339	811
295	340	808
296	340	806
297	341	803
298	341	800
299	342	798
300	342	795
301	342	792
302	343	790
303	343	787
304	344	785
305	345	783
306	345	780
307	346	778
308	346	775
309	347	773
310	347	770
311	348	768
312	348	765
313	349	763
314	349	760
315	350	758
316	351	756
317	351	754
318	352	751
319	352	749
320	353	747
321	353	744
322	354	742
323	354	740
324	355	737
325	355	735
326	356	733
327	356	730
328	357	728
329	357	726
330	358	724
331	358	721
332	359	719
333	359	717
334	360	715
335	360	712
336	361	710
337	361	708
338	362	706
339	362	704
340	363	702
341	363	700
342	364	697
343	364	695
344	365	693
345	365	691
346	366	689
347	366	687
348	367	685
349	367	682
350	368	680
351	368	678
352	369	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	666
358	372	664
359	372	662
360	373	660
361	373	658
362	374	656
363	374	654
364	375	653
365	376	651
366	376	649
367	377	647
368	377	645
